State,Population,AreaInSqKm,DensityPerSqKm
Tamil Nadu,72147030,130058,555
Kerala,33406061,38863,860
Karnataka,61130704,191791,319
Andhra Pradesh,49386799,162968,303
Telangana,35003674,112077,312
Maharashtra,112374333,307713,365
Gujarat,60439692,196024,308
Rajasthan,68548437,342239,200
Uttar Pradesh,199812341,240928,828
Madhya Pradesh,72626809,308245,236
Punjab,27743338,50362,551
Haryana,25351462,44212,573
Bihar,104099452,94163,1106
Odisha,41974218,155707,269
West Bengal,91276115,88752,1029
Assam,31205576,78438,398
Jharkhand,32988134,79714,414
Chhattisgarh,25545198,135191,189
Goa,1458545,3702,394
Sikkim,610577,7096,86
Manipur,2855794,22327,128
Meghalaya,2966889,22429,132
Tripura,3673917,10486,350
Nagaland,1978502,16579,119
Mizoram,1097206,21081,52
Arunachal Pradesh,1383727,83743,17
Himachal Pradesh,6864602,55673,123
Uttarakhand,10086292,53483,189
Jammu and Kashmir,12541302,222236,56
